./Experiments/cifar10-simclr_resnet18-clean
Use GPU: 0 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
main_train.py:124: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[1-epoch] time:44.179 | knn acc: 34.663 | loss:49.339 | cl_loss:49.339
[2-epoch] time:43.217 | knn acc: 41.838 | loss:43.679 | cl_loss:43.679
[3-epoch] time:43.567 | knn acc: 44.387 | loss:41.858 | cl_loss:41.858
[4-epoch] time:42.998 | knn acc: 48.910 | loss:40.938 | cl_loss:40.938
[5-epoch] time:43.015 | knn acc: 52.693 | loss:40.331 | cl_loss:40.331
[6-epoch] time:43.019 | knn acc: 55.623 | loss:39.904 | cl_loss:39.904
[7-epoch] time:43.228 | knn acc: 58.203 | loss:39.647 | cl_loss:39.647
[8-epoch] time:42.686 | knn acc: 59.457 | loss:39.444 | cl_loss:39.444
[9-epoch] time:42.767 | knn acc: 60.752 | loss:39.291 | cl_loss:39.291
[10-epoch] time:43.344 | knn acc: 61.688 | loss:39.176 | cl_loss:39.176
[11-epoch] time:42.905 | knn acc: 62.675 | loss:39.107 | cl_loss:39.107
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:814: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[12-epoch] time:42.494 | knn acc: 65.193 | loss:38.943 | cl_loss:38.943
[13-epoch] time:42.320 | knn acc: 65.903 | loss:38.817 | cl_loss:38.817
[14-epoch] time:42.267 | knn acc: 66.190 | loss:38.762 | cl_loss:38.762
[15-epoch] time:42.039 | knn acc: 66.807 | loss:38.708 | cl_loss:38.708
[16-epoch] time:42.242 | knn acc: 67.763 | loss:38.642 | cl_loss:38.642
[17-epoch] time:42.329 | knn acc: 67.897 | loss:38.574 | cl_loss:38.574
[18-epoch] time:42.008 | knn acc: 68.205 | loss:38.529 | cl_loss:38.529
[19-epoch] time:42.162 | knn acc: 68.020 | loss:38.457 | cl_loss:38.457
[20-epoch] time:42.406 | knn acc: 69.254 | loss:38.455 | cl_loss:38.455
[21-epoch] time:42.250 | knn acc: 69.058 | loss:38.407 | cl_loss:38.407
[22-epoch] time:42.294 | knn acc: 68.884 | loss:38.342 | cl_loss:38.342
[23-epoch] time:42.185 | knn acc: 69.747 | loss:38.329 | cl_loss:38.329
[24-epoch] time:42.111 | knn acc: 70.189 | loss:38.286 | cl_loss:38.286
[25-epoch] time:42.144 | knn acc: 70.755 | loss:38.289 | cl_loss:38.289
[26-epoch] time:42.131 | knn acc: 69.048 | loss:38.262 | cl_loss:38.262
[27-epoch] time:42.134 | knn acc: 70.189 | loss:38.231 | cl_loss:38.231
[28-epoch] time:42.355 | knn acc: 70.549 | loss:38.209 | cl_loss:38.209
[29-epoch] time:42.149 | knn acc: 69.881 | loss:38.181 | cl_loss:38.181
[30-epoch] time:42.092 | knn acc: 70.826 | loss:38.177 | cl_loss:38.177
[31-epoch] time:42.214 | knn acc: 70.600 | loss:38.153 | cl_loss:38.153
[32-epoch] time:42.182 | knn acc: 71.690 | loss:38.146 | cl_loss:38.146
[33-epoch] time:42.225 | knn acc: 71.875 | loss:38.098 | cl_loss:38.098
[34-epoch] time:42.050 | knn acc: 71.248 | loss:38.095 | cl_loss:38.095
[35-epoch] time:42.072 | knn acc: 71.721 | loss:38.096 | cl_loss:38.096
[36-epoch] time:42.104 | knn acc: 72.255 | loss:38.079 | cl_loss:38.079
